character-simplified|pinyin|definition
修建|xīujiàn|to build; to construct
修理|xīulǐ|to repair; to fix; to prune; to trim; (coll.) to sort sb out; to fix sb
羞耻|xīuchǐ|(a feeling of) shame
休养|xīuyǎng|to recuperate; to recover; to convalesce
绣|xìu|variant of 繡/绣[xiu4]; to embroider; embroidery
嗅觉|xìujué|sense of smell
虚假|xūjiǎ|false; phony; pretense
虚荣|xūróng|vanity
虚伪|xūwěi|false; hypocritical; artificial; sham
需求|xūqíu|requirement; to require; (economics) demand
须知|xūzhī|key information; instructions; it must be borne in mind
许可|xǔkě|to allow; to permit
酗酒|xùjǐu|heavy drinking; to get drunk; to drink to excess
畜牧|chùmù|to raise animals
序言|xùyán|preface; introductory remarks; preamble; prelude
宣誓|xuānshì|to swear an oath (of office); to make a vow
宣扬|xuānyáng|to proclaim; to make public or well known
悬挂|xuánguà|to suspend; to hang; (vehicle) suspension
悬念|xuánniàn|suspense in a movie, play etc; concern for sb's welfare
悬崖峭壁|xuányáqiàobì|sheer cliffs and precipitous rock faces (idiom)
旋律|xuánlv̀|melody; rhythm
旋转|xuánzhuǎn|to rotate; to revolve; to spin; to whirl
选拔|xuǎnbá|to select the best
选手|xuǎnshǒu|athlete; contestant
削弱|xuēruò|to weaken; to impair; to cripple
学历|xuélì|educational background; academic qualifications
学说|xuéshuō|theory; doctrine
学位|xuéwèi|academic degree; place in school
血压|xiěyā|blood pressure
熏陶|xūntáo|to seep in; to influence; to nurture; influence; training
循环|xúnhuán|to cycle; to circulate; circle; loop
巡逻|xúnluó|to patrol (police, army or navy)
寻觅|xúnmì|to look for
押金|yājīn|deposit; down payment
压迫|yāpò|to oppress; to repress; to constrict; oppression; stress (physics)
压岁钱|yāsùiqián|money given to children as new year present
压缩|yāsuō|to compress; compression
压抑|yāyì|to constrain or repress emotions; oppressive; stifling; depressing; repression
压榨|yāzhà|to press; to squeeze; to extract juice, oil etc by squeezing
压制|yāzhì|to suppress; to inhibit; to stifle
亚军|yàjūn|second place (in a sports contest); runner-up
烟花|yānhuā|fireworks; prostitute (esp. in Yuan theater)
淹没|yānméi|to submerge; to drown; to flood; to drown out (also fig.)
延期|yánqī|to delay; to extend; to postpone; to defer
延伸|yánshēn|to extend; to spread
延续|yánxù|to continue; to go on; to last
严寒|yánhán|bitter cold; severe winter
严禁|yánjìn|to strictly prohibit
严峻|yánjùn|grim; severe; rigorous
严厉|yánlì|severe; strict
严密|yánmì|strict; tight (organization, surveillance etc)
沿海|yánhǎi|coastal
言论|yánlùn|expression of opinion; views; remarks; arguments
炎热|yánrè|blistering hot; sizzling hot (weather)
岩石|yánshí|rock
演变|yǎnbiàn|to develop; to evolve; development; evolution
演讲|yǎnjiǎng|lecture; to make a speech
演习|yǎnxí|maneuver; exercise; practice; to maneuver
演绎|yǎnyì|(of a story etc) to unfold; to play out; to develop (a technique etc); to enact; (logic) to deduce; to infer
演奏|yǎnzòu|to perform on a musical instrument
掩盖|yǎngài|to conceal; to hide behind; to cover up
掩护|yǎnhù|to screen; to shield; to cover; protection; cover; CL:面[mian4]
掩饰|yǎnshì|to cover up; to conceal; to mask; to gloss over
眼光|yǎnguāng|gaze; insight; foresight; vision; way of looking at things
眼色|yǎnsè|signal made with one's eyes; meaningful glance
眼神|yǎnshén|expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (dialect)
眼下|yǎnxià|now; at present; subocular (medicine)
验收|yànshōu|to inspect and accept; acceptance
验证|yànzhèng|to inspect and verify; experimental verification; to validate (a theory); to authenticate
厌恶|yànè|to loathe; to hate; disgusted with sth
氧气|yǎngqì|oxygen
样品|yángpǐn|sample; specimen
摇摆|yáobǎi|to sway; to wobble; to waver
摇滚|yáogǔn|rock 'n' roll (music); to rock; to fall off
摇晃|yáohuǎng|to rock; to shake; to sway
遥控|yáokòng|remote control
遥远|yáoyuǎn|distant; remote
谣言|yáoyán|rumor
要不然|yàobùrán|otherwise; or else; or
要点|yàodiǎn|main point; essential
要命|yàomìng|to cause sb's death; very; extremely; frightening; annoying
要素|yàosù|essential factor; key constituent
耀眼|yàoyǎn|to dazzle; dazzling
野蛮|yěmán|barbarous; uncivilized
野心|yěxīn|ambition; wild schemes; careerism
一流|yīlíu|top quality; front ranking
依次|yīcì|in order; in succession
依旧|yījìu|as before; still
依据|yījù|according to; basis; foundation
依靠|yīkào|to rely on sth (for support etc); to depend on
依赖|yīlài|to depend on; to be dependent on
依托|yītuō|to rely on; to depend on; support
衣裳|yīcháng|clothes
一度|yīdù|for a time; at one time; one time; once
一贯|yīguàn|consistent; constant; from start to finish; all along; persistent
一律|yīlv̀|same; uniformly; all; without exception
一目了然|yīmùlerán|obvious at a glance (idiom); obvious at a glance (idiom)
一向|yīxiàng|always (previously); a period of time in the recent past
一再|yīzài|repeatedly
遗产|yíchǎn|heritage; legacy; inheritance; bequest; CL:筆/笔[bi3]
遗传|yíchuán|heredity; to inherit (a trait); to pass on (to one's offspring)
遗留|yílíu|to leave behind; to hand down
遗失|yíshī|to lose; lost
疑惑|yíhuò|to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions
仪器|yíqì|instrument; apparatus; CL:臺/台[tai2]
仪式|yíshì|ceremony
以便|yǐbiàn|so that; so as to; in order to
以免|yǐmiǎn|in order to avoid; so as not to
以往|yǐwǎng|in the past; formerly
以至|yǐzhì|down to; up to; to such an extent as to ...; also written 以至於/以至于[yi3 zhi4 yu2]
以致|yǐzhì|to such an extent as to; down to; up to
亦|yì|also
翼|yì|surname Yi; alternative name for 絳/绛[Jiang4] capital of the Jin State during the Spring and Autumn Period (770-475 BC); wing; area surrounding the bullseye of a target; to assist; one of the 28 constellations of Chinese astronomy; old variant of 翌
一帆风顺|yīfānfēngshùn|propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!
异常|yìcháng|exceptional; abnormal; an anomaly
意料|yìliào|to anticipate; to expect
意识|yìshì|consciousness; awareness; to be aware; to realize
意图|yìtú|intent; intention; to intend
意味着|yìwèizháo|to signify; to mean; to imply
意向|yìxiàng|intention; purpose; intent; inclination; disposition
意志|yìzhì|will; willpower; determination; CL:個/个[ge4]
毅力|yìlì|perseverance; willpower
毅然|yìrán|firmly; resolutely; without hesitation
抑制|yìzhì|to inhibit; to keep down; to suppress
阴谋|yīnmóu|plot; conspiracy
音响|yīnxiǎng|sound; acoustics; audio; hi-fi system; stereo sound system; abbr. for 組合音響/组合音响[zu3 he2 yin1 xiang3]
隐蔽|yǐnbì|to conceal; to hide; covert; under cover
隐患|yǐnhuàn|a danger concealed within sth; hidden damage; misfortune not visible from the surface
隐瞒|yǐnmán|to conceal; to hide (a taboo subject); to cover up the truth
隐私|yǐnsī|secrets; private business; privacy
隐约|yǐnyuē|vague; faint; indistinct
引导|yǐndǎo|to guide; to lead (around); to conduct; to boot; introduction; primer
引擎|yǐnqíng|engine (loanword); CL:臺/台[tai2]
引用|yǐnyòng|to quote; to cite; to recommend; to appoint; (computing) reference
饮食|yǐnshí|food and drink; diet
印刷|yìnshuā|to print; printing
婴儿|yīngér|infant; baby; CL:個/个[ge4]; lead (Pb)
英明|yīngmíng|wise; brilliant
英勇|yīngyǒng|heroic; gallant; valiant
迎面|yíngmiàn|directly; head-on (collision); in one's face (of wind)
盈利|yínglì|profit; gain; to make profits
荧屏|yíngpíng|fluorescent screen; TV screen
应酬|yìngchóu|social niceties; social interaction; a dinner party
应邀|yìngyāo|at sb's invitation; on invitation
拥护|yǒnghù|to endorse; to support
拥有|yǒngyǒu|to have; to possess
庸俗|yōngsú|vulgar; tacky; tawdry
勇于|yǒngyú|to dare to; to be brave enough to
永恒|yǒnghéng|eternal; everlasting; fig. to pass into eternity (i.e. to die)
涌现|yǒngxiàn|to emerge in large numbers; to spring up; to emerge prominently
踊跃|yǒngyuè|to leap; to jump; eager; enthusiastically
用功|yònggōng|diligent; industrious (in one's studies); to study hard; to make great effort
用户|yònghù|user; consumer; subscriber; customer
优胜劣汰|yōushèngliètài|survival of the fittest (idiom)
优先|yōuxiān|to have priority; to take precedence
优异|yōuyì|exceptional; outstandingly good
优越|yōuyuè|superior; superiority
忧郁|yōuyù|sullen; depressed; melancholy; dejected
油腻|yóunì|grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character
油漆|yóuqī|oil paints; lacquer; to paint; CL:層/层[ceng2]
犹如|yóurú|similar to; appearing to be
幼稚|yòuzhì|young; childish; puerile
诱惑|yòuhuò|to entice; to lure; to induce; to attract
愚蠢|yúchǔn|silly; stupid
愚昧|yúmèi|ignorant; uneducated; ignorance
舆论|yúlùn|public opinion
渔民|yúmín|fisherman; fisher folk
与日俱增|yǔrìjùzēng|to increase steadily; to grow with each passing day
羽绒服|yǔróngfú|down-filled garment
予以|yúyǐ|to give; to impose; to apply
愈|yù|the more...(the more...); to recover; to heal; better; variant of 愈[yu4]; to heal
预料|yùliào|to forecast; to anticipate; expectation
预期|yùqī|to expect; to anticipate
预赛|yùsài|preliminary competition; to hold preliminary heats
预算|yùsuàn|budget
预先|yùxiān|beforehand; in advance
预言|yùyán|to predict; prophecy
预兆|yùzhào|omen; sign (of sth yet to occur); prior indication; to foreshadow
欲望|yùwàng|desire; longing; appetite; craving
寓言|yùyán|fable; CL:則/则[ze2]
冤枉|yuānwǎng|to accuse wrongly; to treat unjustly; injustice; wronged; not worthwhile
元首|yuánshǒu|head of state
元素|yuánsù|element; element of a set; chemical element
元宵节|yuánxiāojié|Lantern Festival, the final event of the Spring Festival 春節/春节, on 15th of first month of the lunar calendar
圆满|yuánmǎn|satisfactory; consummate; perfect
原告|yuángào|complainant; plaintiff
原理|yuánlǐ|principle; theory
原始|yuánshǐ|first; original; primitive; original (document etc)
原先|yuánxiān|originally; original; former
园林|yuánlín|gardens; park; landscape garden
源泉|yuánquán|fountainhead; well-spring; water source; fig. origin
约束|yuēshù|to restrict; to limit to; to constrain; restriction; constraint
岳父|yuèfù|wife's father, father-in-law
乐谱|lèpǔ|a musical score; sheet music
熨|yùn|reconciled; smooth; an iron; to iron
蕴藏|yùncáng|to hold in store; to contain (untapped reserves etc)
运算|yùnsuàn|to perform calculations; (mathematical) operation
运行|yùnxíng|to move along one's course (of celestial bodies etc); (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run
酝酿|yùnniàng|(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions
孕育|yùnyù|to be pregnant; to produce offspring; to nurture (a development, school of thought, artwork etc); fig. replete with (culture etc)
砸|zá|to smash; to pound; to fail; to muck up; to bungle
杂技|zájì|acrobatics; CL:場/场[chang3]
杂交|zájiāo|to hybridize; to crossbreed; promiscuity
咋|zhà|dialectal equivalent of 怎麼/怎么[zen3 me5]; gnaw; loud noise; shout; suddenly
灾难|zāinán|disaster; catastrophe
栽培|zāipéi|to grow; to cultivate; to train; to educate; to patronize
宰|zǎi|to slaughter livestock; to govern or rule; to cheat customers; imperial official in dynastic China
在乎|zàihū|to care about; equivalent of 在於/在于[zai4 yu2]
在意|zàiyì|to care about; to mind
攒|zǎn|to bring together; to collect; to hoard; to accumulate; to save
赞叹|zàntàn|to exclaim in admiration
赞同|zàntóng|to approve of; to endorse; (vote) in favor; to approve of; to endorse; (vote) in favor
赞扬|zànyáng|to praise; to approve of; to show approval
赞助|zànzhù|to support; to assist; to sponsor
暂且|zànqiě|for now; for the time being; temporarily
糟蹋|zāotà|to waste; to defile; to abuse; to insult; to defile; to trample on; to wreck; also pr. [zao1 ta5]
遭受|zāoshòu|to suffer; to sustain (loss, misfortune)
遭殃|zāoyāng|to suffer a calamity
遭遇|zāoyù|to meet with; to encounter; (bitter) experience
造反|zàofǎn|to rebel; to revolt
造型|zàoxíng|to model; to shape; appearance; style; design; form; pose
噪音|zàoyīn|rumble; noise; static (in a signal)
责怪|zéguài|to blame; to rebuke
贼|zéi|thief; traitor; wily; deceitful; evil; extremely
增添|zēngtiān|to add; to increase
赠送|zèngsòng|to present as a gift
渣|zhā|slag (in mining or smelting); dregs
扎|zhā|to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer); penetrating (as of cold); struggle; variant of 紮/扎[za1]; variant of 紮/扎[zha1]; to tie; to bind; classifier for flowers, banknotes etc: bundle; Taiwan pr. [zha2]
扎实|zhāshí|strong; solid; sturdy; firm; practical; see 扎實/扎实[zha1 shi5]
眨|zhǎ|to blink; to wink
诈骗|zhàpiàn|to defraud; to swindle; to blackmail
摘要|zhāiyào|summary; abstract
债券|zhàiquàn|bond; debenture
沾光|zhānguāng|to bask in the light; fig. to benefit from association with sb or sth; reflected glory
瞻仰|zhānyǎng|to revere; to admire
斩钉截铁|zhǎndīngjiétiě|lit. to chop the nail and slice the iron (idiom); fig. resolute and decisive; unhesitating; categorical
展示|zhǎnshì|to reveal; to display; to show; to exhibit sth
展望|zhǎnwàng|outlook; prospect; to look ahead; to look forward to
展现|zhǎnxiàn|to come out; to emerge; to reveal; to display
崭新|zhǎnxīn|brand new
战斗|zhàndǒu|to fight; to engage in combat; struggle; battle; CL:場/场[chang2],次[ci4]
战略|zhànlvè|strategy
战术|zhànzhú|tactics
战役|zhànyì|military campaign
占据|zhānjù|to occupy; to hold
占领|zhānlǐng|to occupy (a territory); to hold
占有|zhānyǒu|to have; to own; to hold; to occupy; to possess; to account for (a high proportion etc)
章程|zhāngchéng|rules; regulations; constitution; statute; articles of association (of company); articles of incorporation; charter (of a corporation); by-laws
长辈|chángbèi|one's elders; older generation
障碍|zhàngài|barrier; obstruction; hindrance; impediment; obstacle
帐篷|zhàngpéng|tent; CL:頂/顶[ding3],座[zuo4]
招收|zhāoshōu|to hire; to recruit
招投标|zhāotóubiāo|bid inviting and bid offering; bidding; auction
着迷|zháomí|to be fascinated; to be captivated
沼泽|zhǎozé|marsh; swamp; wetlands; glade
照料|zhàoliào|to tend; to take care of sb
照样|zhàoyáng|as before; (same) as usual; in the same manner; still; nevertheless
照耀|zhàoyào|to shine; to illuminate
照应|zhàoyìng|to correlate with; to correspond to; to look after; to take care of; to attend to
遮挡|zhēdǎng|to shelter; to shelter from
折腾|zhéténg|to toss from side to side (e.g. sleeplessly); to repeat sth over and over again; to torment sb; to play crazy; to squander (time, money)
折|zhé|to break (e.g. stick or bone); a loss; to turn sth over; to turn upside down; to tip sth out (of a container); to break; to fracture; to snap; to suffer loss; to bend; to twist; to turn; to change direction; convinced; to convert into (currency); discount; rebate; tenth (in price); classifier for theatrical scenes; to fold; accounts book; variant of 折[zhe2]; to fold
折磨|zhémó|to torment; to torture
真相|zhēnxiāng|the truth about sth; the actual facts
真挚|zhēnzhì|sincere; sincerity
珍贵|zhēngùi|precious
珍稀|zhēnxī|rare; precious and uncommon
珍珠|zhēnzhū|pearl; CL:顆/颗[ke1]
侦探|zhēntàn|detective; to do detective work
斟酌|zhēnzhuó|to consider; to deliberate; to fill up a cup to the brim
阵地|zhèndì|position; front
阵容|zhènróng|troop arrangement; battle formation; lineup (of a sports team etc)
镇定|zhèndìng|calm; unperturbed; cool
镇静|zhènjìng|calm; cool
镇压|zhènyā|suppression; repression; to suppress; to put down; to quell
振奋|zhènfèn|to stir oneself up; to raise one's spirits; to inspire
振兴|zhènxīng|Zhengxing district of Dandong city 丹東市/丹东市[Dan1 dong1 shi4], Liaoning; to revive; to revitalize; to invigorate; to re-energize
震惊|zhènliáng|to shock; to astonish
争端|zhēngduān|dispute; controversy; conflict
争夺|zhēngduó|to fight over; to contest; to vie over
争气|zhēngqì|to work hard for sth; to resolve on improvement; determined not to fall short
争议|zhēngyì|controversy; dispute; to dispute
蒸发|zhēngfā|to evaporate; evaporation
征服|zhēngfú|to conquer; to subdue; to vanquish
征收|zhēngshōu|to levy (a fine); to impose (a tariff)
正月|zhèngyuè|first month of the lunar year
挣扎|zhēngzhā|to struggle
整顿|zhěngdùn|to tidy up; to reorganize; to consolidate; to rectify
正当|zhèngdāng|timely; just (when needed); honest; reasonable; fair; sensible
正负|zhèngfù|positive and negative
正规|zhènggūi|regular; according to standards
正经|zhèngjīng|decent; honorable; proper; serious; according to standards
正气|zhèngqì|healthy environment; healthy atmosphere; righteousness; vital energy (in Chinese medicine)
正义|zhèngyì|justice; righteousness; just; righteous
政权|zhèngquán|regime; political power
证实|zhèngshí|to confirm (sth to be true); to verify
证书|zhèngshū|credentials; certificate
郑重|zhèngzhòng|serious; solemn
症状|zhèngzhuàng|symptom (of an illness)
枝|zhī|branch; classifier for sticks, rods, pencils etc
支撑|zhīchēng|to prop up; to support; strut; brace
支出|zhīchū|to spend; to pay out; expense
支流|zhīlíu|tributary (river)
支配|zhīpèi|to control; to dominate; to allocate
支援|zhīyuán|to provide assistance; to support; to back
支柱|zhīzhù|mainstay; pillar; prop; backbone
知觉|zhījué|perception; consciousness
知足常乐|zhīzúchánglè|satisfied with what one has (idiom)
脂肪|zhīfáng|fat (in the body, in a plant, or in food)
直播|zhíbō|live broadcast (not recorded); direct Internet broadcasting; (agriculture) direct seeding
值班|zhíbān|to work a shift; on duty
殖民地|zhímíndì|colony
职能|zhínéng|function; role
职位|zhíwèi|post; office; position
职务|zhíwù|post; position; job; duties
指标|zhǐbiāo|(production) target; quota; index; indicator; sign; signpost; (computing) pointer
指定|zhǐdìng|to appoint; to assign; to indicate clearly and with certainty; designated
指甲|zhǐjiǎ|fingernail
指令|zhǐlìng|order; command; instruction
指南针|zhǐnánzhēn|compass
指示|zhǐshì|to point out; to indicate; to instruct; directives; instructions; CL:個/个[ge4]
指望|zhǐwàng|to hope for sth; to count on; hope
指责|zhǐzé|to criticize; to find fault with; to denounce
治安|zhìān|law and order; public security
治理|zhìlǐ|to govern; to administer; to manage; to control; governance
制裁|zhìcái|to punish; punishment; sanctions (incl. economic)
制订|zhìdìng|to work out; to formulate
制服|zhìfú|to subdue; to check; to bring under control; (in former times) what one is allowed to wear depending on social status; uniform (army, party, school etc); livery (for company employees); CL:套[tao4]
制约|zhìyuē|to restrict; condition
制止|zhìzhǐ|to curb; to put a stop to; to stop; to check; to limit
致辞|zhìcí|to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致詞/致词
致使|zhìshǐ|to cause; to result in
智力|zhìlì|intelligence; intellect
智能|zhìnéng|intelligent; able; smart (phone, system, bomb etc)
智商|zhìshāng|IQ (intelligence quotient)
滞留|zhìlíu|to detain; retention
志气|zhìqì|ambition; resolve; backbone; drive; spirit
忠诚|zhōngchéng|devoted; loyal; fidelity; loyalty
忠实|zhōngshí|faithful
终点|zhōngdiǎn|the end; end point; finishing line (in a race); destination; terminus; CL:個/个[ge4]
终究|zhōngjīu|in the end; after all is said and done
终年|zhōngnián|entire year; throughout the year; age at death
终身|zhōngshēn|lifelong; all one's life; marriage
终止|zhōngzhǐ|to stop; to terminate (law)
中断|zhōngduàn|to cut short; to break off; to discontinue; to interrupt
中立|zhōnglì|neutral; neutrality
中央|zhōngyāng|central; middle; center; central authorities (of a state)
衷心|zhōngxīn|heartfelt; wholehearted; cordial
种子|zhǒngzǐ|seed; CL:顆/颗[ke1],粒[li4]
种族|zhǒngzú|race; ethnicity
肿瘤|zhǒnglíu|tumor
重心|zhòngxīn|center of gravity; central core; main part
众所周知|zhòngsuǒzhōuzhī|as everyone knows (idiom); see 眾所周知/众所周知[zhong4 suo3 zhou1 zhi1]
州|zhōu|prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland)
舟|zhōu|boat
粥|zhōu|see 葷粥/荤粥[Xun1 yu4]; congee; gruel; porridge; CL:碗[wan3]
周边|zhōubiān|periphery; rim; surroundings; all around; perimeter; peripheral (computing); spin-offs
周密|zhōumì|careful; thorough; meticulous; dense; impenetrable
周年|zhōunián|anniversary; annual
周期|zhōuqī|period; cycle
周折|zhōuzhé|twists and turns; vicissitude; complication; difficulty; effort; CL:番[fan1]
周转|zhōuzhuǎn|to rotate; to circulate (cash, stock etc); turnover; circulation; cash flow
皱纹|zhòuwén|wrinkle; CL:道[dao4]
昼夜|zhòuyè|day and night; period of 24 hours; continuously, without stop
株|zhū|tree trunk; stump (tree root); a plant; classifier for trees or plants; strain (biology); to involve others (in shady business)
诸位|zhūwèi|(pron) everyone; Ladies and Gentlemen; Sirs
逐年|zhúnián|year after year; with each passing year; over the years
拄|zhǔ|to lean on; to prop on
主办|zhǔbàn|to organize; to host (a conference or sports event)
主导|zhǔdǎo|leading; dominant; prevailing; to lead; to direct; to dominate
主管|zhǔguǎn|in charge; responsible for; person in charge; manager
主流|zhǔlíu|main stream (of a river); fig. the essential point; main viewpoint of a matter; mainstream (culture etc)
主权|zhǔquán|sovereignty
主题|zhǔtí|theme; subject
住宅|zhùzhái|residence; tenement
注射|zhùshè|injection; to inject
注视|zhùshì|to watch attentively; to gaze at
注释|zhùshì|marginal notes; annotation; to annotate; to add comments to text
注重|zhùzhòng|to pay attention to; to emphasize
助理|zhùlǐ|assistant
助手|zhùshǒu|assistant; helper
著作|zhùzuò|to write; literary work; book; article; writings; CL:部[bu4]
驻扎|zhùzhā|to station; to garrison (troops)
铸造|zhùzào|to cast (pour metal into a mold)
拽|yè|to drag; to haul; to throw; to fling; alternate writing of 跩[zhuai3]; to pull; to tug at (sth)
专长|zhuāncháng|specialty; special knowledge or ability
专程|zhuānchéng|specifically; specially (for that purpose)
专科|zhuānkē|specialized subject; branch (of medicine); specialized training school
专利|zhuānlì|patent; sth uniquely enjoyed (or possessed etc) by a certain group of people; monopoly
专题|zhuāntí|specific topic (addressed by a book, lecture, TV program etc); article, report or program etc on a specific topic
砖瓦|zhuānwǎ|tiles and bricks
转达|zhuǎndá|to pass on; to convey; to communicate
转让|zhuǎnràng|to transfer (ownership, rights etc)
转移|zhuǎnyí|to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine); to evacuate (people)
转折|zhuǎnzhé|shift in the trend of events; turnaround; plot shift in a book; turn in the conversation
传记|chuánjì|biography; CL:篇[pian1],部[bu4]
装备|zhuāngbèi|equipment; to equip; to outfit
装卸|zhuāngxiè|to load or unload; to transfer; to assemble and disassemble
庄严|zhuāngyán|solemn; dignified; stately
庄重|zhuāngzhòng|grave; solemn; dignified
幢|chuáng|banner; classifier for buildings; carriage curtain (old)
壮观|zhuàngguān|spectacular; magnificent sight
壮丽|zhuànglì|magnificence; magnificent; majestic; glorious
壮烈|zhuàngliè|brave; heroic
追悼|zhūidào|to mourn; to pay last respects; mourning; memorial (service etc)
追究|zhūijīu|to investigate; to look into
准则|zhǔnzé|norm; standard; criterion
琢磨|zhuómó|to carve and polish (jade); to polish and refine a literary work; to ponder; to mull over; to think through; Taiwan pr. [zhuo2 mo2]
着手|zháoshǒu|to put one's hand to it; to start out on a task; to set out
着想|zháoxiǎng|to give thought (to others); to consider (other people's needs); also pr. [zhao2 xiang3]
着重|zháozhòng|to put emphasis on; to stress
卓越|zhuōyuè|outstanding; surpassing; distinguished; splendid
资本|zīběn|capital (economics)
资产|zīchǎn|property; assets
资深|zīshēn|veteran (journalist etc); senior; highly experienced
资助|zīzhù|to subsidize; to provide financial aid; subsidy
姿态|zītài|attitude; posture; stance
滋味|zīwèi|taste; flavor; feeling
滋长|zīcháng|to grow (usually of abstract things); to yield; to develop
子弹|zǐdàn|bullet; CL:粒[li4],顆/颗[ke1],發/发[fa1]
字母|zìmǔ|letter (of the alphabet); CL:個/个[ge4]
自卑|zìbēi|feeling inferior; self-abased
自发|zìfā|spontaneous
自力更生|zìlìgèngshēng|regeneration through one's own effort (idiom); self-reliance
自满|zìmǎn|complacent; self-satisfied
自主|zìzhǔ|independent; to act for oneself; autonomous
踪迹|zōngjī|tracks; trail; footprint; trace; vestige
宗旨|zōngzhǐ|objective; aim; goal
棕色|zōngsè|brown
总而言之|zǒngéryánzhī|in short; in a word; in brief
总和|zǒnghé|sum
走廊|zǒuláng|corridor; aisle; hallway; passageway; veranda
走漏|zǒulòu|to leak (of information, liquid etc); to divulge
走私|zǒusī|to smuggle; to have an illicit affair
揍|zòu|to beat up; to break to pieces
租赁|zūrèn|to rent; to lease; to hire
足以|zúyǐ|sufficient to...; so much so that; so that
组|zǔ|surname Zu; to form; to organize; group; team; classifier for sets, series, groups of people, batteries
阻碍|zǔài|to obstruct; to hinder; to block; obstruction; hindrance
阻拦|zǔlán|to stop; to obstruct
阻挠|zǔnáo|to thwart; to obstruct (sth)
祖父|zǔfù|father's father; paternal grandfather
钻研|zuànyán|to study meticulously; to delve into
钻石|zuànshí|diamond; CL:顆/颗[ke1]
嘴唇|zǔichún|lip; CL:片[pian4]
尊严|zūnyán|dignity; sanctity; honor; majesty
遵循|zūnxún|to follow; to abide by; to comply with; compliance
左右|zuǒyòu|left and right; nearby; approximately; attendant; to control; to influence
做东|zuòdōng|to act as host
做主|zuòzhǔ|see 作主[zuo4 zhu3]
座右铭|zuòyòumíng|motto; maxim
作弊|zuòbì|to practice fraud; to cheat; to engage in corrupt practices
作废|zuòfèi|to become invalid; to cancel; to delete; to nullify
作风|zuòfēng|style; style of work; way
作息|zuòxī|to work and rest
